,momentum_space00::Probabilities::Post,momentum_space00::Probabilities::3rdStair,momentum_space00::Probabilities::2ndStair,momentum_space00::Probabilities::1stStair,momentum_space00::Probabilities::Pre,momentum_space00::FrameCount,momentum_space00::SpaceStep,momentum_space00::TimeStep,momentum_space00::PointCount,momentum_space00::RegionLength::Post,momentum_space00::RegionLength::3rdStair,momentum_space00::RegionLength::2ndStair,momentum_space00::RegionLength::1stStair,momentum_space00::RegionLength::Pre,packetStartX,packetStartY,initialWaveNumber,standardDeviation
25,8.720556567289351e-23,1.9394971255383347e-14,1.9683138311401528e-07,0.022451740741792597,0.9775480624268046,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
26,2.8001609712860193e-22,4.7259644113065603e-14,3.48167372971091e-07,0.02757951035045967,0.9724201414821201,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
27,8.713400805281517e-22,1.1209688464166537e-13,6.035779530835297e-07,0.033501762261862134,0.9664976341600727,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
28,2.6315413760425377e-21,2.591692105545753e-13,1.0264732024125193e-06,0.04026132362370266,0.9597376499028359,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
29,7.72416202420756e-21,5.847840770337737e-13,1.713999098405383e-06,0.047888822226385325,0.9521094637739315,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
30,2.206309034085664e-20,1.2892034169058325e-12,2.812347042450173e-06,0.05640085184395215,0.9435963358077163,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
31,6.140011609858747e-20,2.7797988545855925e-12,4.537742708983761e-06,0.06579864004211629,0.9341968222123949,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
32,1.6666216386988805e-19,5.867976743492911e-12,7.204679756789576e-06,0.07606732148088673,0.9239254738334883,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
33,4.416858351873941e-19,1.213757615867356e-11,1.1263188402007833e-05,0.08717588312332843,0.9128128536761321,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
34,1.1439627998494346e-18,2.462074221509103e-11,1.734710866317279e-05,0.099077803219295,0.9009048496474215,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
35,2.8981315380839766e-18,4.901479572004838e-11,2.63354379019266e-05,0.11171235694258135,0.8882613075705018,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
36,7.187745872021333e-18,9.583367029270948e-11,3.942880033531118e-05,0.12500651237634036,0.8749540587274905,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
37,1.7465196887687234e-17,1.841453365400525e-10,5.8242896320668344e-05,0.13887729583548106,0.8610644610840528,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
38,4.1608026231411815e-17,3.479545617697359e-10,8.492038412307653e-05,0.15323446991686257,0.8466806093510598,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
39,9.725255459025207e-17,6.469243146151645e-10,0.00012226198275377,0.16798334524608471,0.8318943921242369,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
40,2.231643793254141e-16,1.1840972252216325e-09,0.0001738766267934384,0.1830275406023563,0.8167985815867524,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
41,5.030510023890188e-16,2.134731482789949e-09,0.0002443492343991924,0.19827151729369955,0.8014841313371692,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
42,1.1145785686890125e-15,3.792509149500368e-09,0.0003394230726548692,0.21362274166432535,0.7860378314705093,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
43,2.428595377680769e-15,6.642483898409902e-09,0.0004661918548659852,0.2289933716083135,0.770540429894334,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
44,5.206750817128416e-15,1.1474568390422628e-08,0.0006332946529257719,0.24430141406459294,0.7550652798079076,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
45,1.0988917727871757e-14,1.9557576030214402e-08,0.0008511045644131067,0.2594713542953505,0.7396775215826492,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
46,2.284113792291478e-14,3.290239517910681e-08,0.0011318999881741523,0.27443430734164864,0.7244337597677589,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
47,4.677814967251658e-14,5.465447050462222e-08,0.0014900055190781628,0.2891277810756426,0.709382158750762,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
48,9.442977408859474e-14,8.967119481911845e-08,0.0019418880846982299,0.30349516426365114,0.6945628579803615,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
49,1.8796827334667795e-13,1.4535997212610367e-07,0.0025061932391689484,0.3174850603296814,0.6800086010709897,650,0.01,2.5e-05,100,0.3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.85,0.5,NULL,0.03
